comment_ori,comment_clean,llm_label
😭😭😭,,Netral
Mari kita Arsipkan Video ini sebelum dipaksa Menghilang 😢😢,arsip video paksa hilang,Positif
"Kau MAWAR merah...eh salah, MAWAR hitam...
Wangimu keperihan 😂",mawar merah salah mawar hitam wangi perih,Netral
"Indonesia (c)emas, kok bisa?",indonesia emas,Positif
Channel favorittt❤,chanel favorit,Netral
Bicara soal politik pemerintahan emang paling cocok kalau one piece jadi pengibaratannya,bicara soal politik perintah cocok piece pengibaratanya,Positif
emang petrus ada dibuku sejarah sekolah?  saya merasa tidak pernah dibahas disekolah. apa hanya saya yang tidak pernah di ajarkan?,petrus buku sejarah sekolah rasa pernah bahas seko pernah ajar,Positif
Ini napa Prabowo jadi Villain anjirlah pas kepilih🗿,napa prabowo vilain anjir pilih,Negatif
Akuilah negara ini pernah bajingan untuk masadepan yang lebih terang,aku negara pernah bajing masadepan terang,Netral
Kereeeen,keren,Netral
orb reference,referensi bola,Netral
indonesia is going to be dystopian i fear,indonesia distopia khawatir,Netral
🔥🔥,,Positif
"semua yang disebutin ini hal yang wajar di masa perang
emang sekejam itu perang se sengsara itu perang makanya plis jangan perang dulu saya mau hidup tenang
kalo perang beneran terjadi siapa yang mau ngatur?
emang perang ada wasit?
kalo pun ada apakah benar benar adil?
hanya empati yang bisa ngatur
contoh ada pers yang dokumentasi peperangan
mau itu dibunuh atau ga tergantung si orangnya

kalo saya jadi pemimpin saya akan melakukan hal yang sama lebih baik membantai 1000 penduduk ketimbang ngelepasin 1 penjahat berbahaya

karena ini ada hubungannya dengan ketegasan penegakan hukum
efek jera untuk penjahat dan sekaligus peringatan ga bisa sembunyi di antara kerumunan
oke lah mungkin bakalan ada salah bunuh puluhan ribu orang tapi efek jangka panjangnya ga ada satupun orang berbahaya yang berani menginjakkan kaki dibawah kekuasaan orang tersebut",semua disebutin wajar masa perang kejam perang sengsara perang makanya plis perang dulu hidup tenang kalo perang beneran jadi ngatur perang wasit kalo benar benar adil empati ngatur contoh pers dokumentasi peperangan bunuh gantung orang kalo pimpin baik bantai duduk ketimbang ngelepasin jahat bahaya hubunganya tegas tega hukum efek jera jahat sekaligus ingat sembunyi kerumun bakal salah bunuh puluh ribu efek jangka panjang satu bahaya berani kinja kaki bawah kuas,Netral
#MENOLAKLUPA,menolaklupa,Netral
"9:39 LAWAN, nggak bisa lawan kalau nyawa taruhannya karena ku nggak senasionalis itu. Anggap lu punya anak, anak lu pengen tahu akan hal itu, jika dia tahu bisa aja dia dihilangkan, jadi apakah anda akan beritahu ke anakmu?",lawan lawan nyawa taruhanya nasional angap punya anak anak ken hilang beritahu anak,Positif
dosa prabowo juga bakalan di hapus agar dia tidak di tuntut,dosa prabowo bakal hapus tuntut,Positif
kok bisa!,,Netral
bagus amat videonya,bagus,Netral
"Ati"" Channelnya di lacak pemerintahan bg,",chanelnya lacak perintah,Positif
"Sejarah di tulis oleh pemenang 
Kebenaran didapat oleh pencari",sejarah tulis menang benar dapat cari,Positif
Ayolah rakyat patungan bikin web & aplikasi yg isinya sejarah² asli indonesia,ayo rakyat patungan aplikasi isi sejarah asli indonesia,Netral
bikin video tentang kenapa kalau kita kebanyakan makan nanas lidah kita suka gatel?,video makan nanas lidah suka gatel,Positif
BEH ANIMASINYA MAKIN GEGEEEE❤,animasi gege,Netral
"(TOLONG BANTU JAWAB YA) 
Hai, teman-teman ""kok bisa"", aku jarang banget komentar, bahkan bisa dibilang nggak pernah kometar di setiap video yang aku tonton. 
tapi di video ini,aku perlu menanyakan kepada teman teman, dari mana aku bisa pelajari semua sejarah Indonesia, buku apa yang perlu aku baca? aku sungguh sungguh nggak mau sejarah Indonesia hilang gitu aja.",bantu jawab teman teman jarang komentar bilang pernah kometar video tonton video perlu tanya teman teman ajar semua sejarah indonesia buku perlu baca sunguh sunguh sejarah indonesia hilang,Netral
Di Saat banyak toktokers yang pro dengan penghapusan ini dan juga di penuhi komen buzzer yang mendukung...  Alhamdulillah masih ada team kita bisa yang mau melawan dan ga menerima jadi buzzer😭😭😭,banyak toktokers hapus penuh komen buzer dukung alhamdulilah team lawan terima buzer,Netral
"min bahas dong kenapa orang orang yang stres bukanya lari ke hal² postif tapi malahan lari ke hal² negatif 
seperti contohnya nya orang yang merokok itu kan rata² karena stres kenapa mereka gak olahraga atau cari solusi cara dan akar permasalahan yang membuat mereka stres",bahas stres buka lari postif malah lari negatif contoh rokok rata stres olahraga cari solusi cara akar masalah stres,Netral
"bang coba bahan prediksi tahun 2030, yang katanya tahun resetnya dunia setiap 100thn sekali",bahan prediksi tahun kata tahun resetnya dunia,Positif
"Sejarah di one piece ""abad kekosongan""",sejarah piece abad kosong,Positif
Ini sedikit demi sedikit pemerintah mempengaruhi kita nih,sedikit sedikit perintah pengaruh,Positif
"masalahnya saat kita melawan, nyawa yang jadi bayarannya",masalah lawan nyawa bayaranya,Positif
"Sejarah mic dimatiin di gedung DPR. Sejarah kebakaran di kantor kejaksaan gara-gara puntung rokok. Sejarah pembahasan UU IKN, UU KPK, UU Minerba, dan UU Cilaka (sekarang disebut Ciptaker) yang terburu-buru. Sejarah pengubahan batas usia pencalonan wapres oleh MK. Semuanya ga akan ada dalam buku sejarah resmi, meski nantinya buku itu akan memuat sejarah RI hingga Pilpres 2024.",sejarah dimatin gedung sejarah bakar kantor kejaksan gara gara puntung rokok sejarah bahas minerba cilaka sekarang sebut ciptaker buru buru sejarah ubah bata usia calon wapres semua buku sejarah resmi meski nanti buku muat sejarah pilpres,Positif
Astaghfirullah,astaghfirulah,Positif
"Pengen nangisss cuyy, kejam banget yakk",ken nang kejam,Positif
We listen and we don't judge...thx ur informations,dengar hakim terima kasih informasi,Positif
"Terimakasih kokbisa sudah menularkan semangat, stay safe wherever you are ❤",terimakasih kokbisa tular semangat stay safe wherever,Positif
Tapi kok masyarakat yang ngejalanin nya waktu itu ga ada yang demo dan masyarakat jadi lebih aman,masyarakat ngejalanin waktu demo masyarakat aman,Positif
Pantes kenapa oda buat pemerintah dunia ingin menghancurkan pengetahuan di one piece,pant buat perintah dunia hancur tahu piece,Netral
"Kalau sampai sejarah penting dihapus, gw bakal bener-bener marah sih sama pemerintah...",sejarah penting hapus bener bener marah perintah,Positif
"3:54 Oh my gosh this is so true! Benar² cemas sekali saya, setiap hari buka berita di negara Konoha ini beritanya bikin ngehela nafas melulu😂",gosh true benar cemas hari buka berita negara konoha berita ngehela nafas melulu,Netral
Kan sejarah ditulis oleh sang pemenang 😂,sejarah tulis sing menang,Positif
Hati'bang chanel ilang😢😢,hati chanel ilang,Positif
"min bahas brain rot dong, gw lama lama kaya agak gedeg banget sama meme brain rot yang udah marak dan ngehancurin otak otak generasi muda di indonesia",bahas brain lama lama kaya gedeg meme brain udah marak ngehancurin otak otak generasi muda indonesia,Netral
Betapa pentingnya sejarah.. belum soal pembatasan *sejarah asli... mungkin kita harusnya nyari sudut pandang negara lain soal indonesia (soal sejarah),betapa penting sejarah soal bata sejarah asli harus nyari sudut pandang negara soal indonesia soal sejarah,Netral
"Sebelum pemerintah melakukan penghapusan beberapa peristiwa bersejarah, solusinya:

1. Simpan semua buku2 sejarah ditempat aman
2. Buku tersebut jadikan file dan simpan",perintah hapus beberapa peristiwa sejarah solusi simpan semua buku sejarah tempat aman buku jadi file simpan,Positif
"Bahkan sejarah yang kita pelajari waktu kecil, adalah sejarah hasil rekayasa.

Contohnya sejarah PKI, kalau baca dari banyak sumber, ceritanya banyak yang berbeda dari versi yg diajarin di sekolah.",sejarah ajar waktu kecil sejarah hasil rekayasa contoh sejarah baca banyak sumber cerita banyak beda versi diajarin sekolah,Negatif
"Assalamualaikum, pengumuman bagi yg masih punya hati📰🗞️♥️

Pembantaian Warga sipil negara Palestina masih berlanjut😭,kebanyakan anak anak dan bayi yg jadi korban🍼👶,pemberhentian pasokan bantuan telah di tutup oleh zionajis isrewel🚛,

Jadi dari pada itu,marilah kita, sama sama mendoakan dan mendonasikan sebagian harta kita untuk warga negara Palestina.

Kalo tidak mampu dalam mendonasikan,

Cukup mendoakan dan menyuarakan negara Palestina di medsos,ayo kita buktikan kalo kita masih manusia,

Dan juga, lakukan aksi boikot terhadap seluruh produk yg terindentifikasi dgn Isrewel.

Ingat!!!!,setiap satu produk Israel atau produk yg mendukung tindakan genosida yg di lakukan oleh zionajis isrewel yg anda beli, sama saja anda mengisi amunisi senapan untuk membantai anak anak dan para bayi😢😭,saya sebagai pengantar pesan dari seseorang anak yg telah syahid di Medan pertempuran di Gaza 😢😭,",asalamualaikum umum punya hati bantai warga sipil negara palestina lanjut anak anak bayi korban henti pasok bantu tutup zionajis isrewel mari doa donasi bagi harta warga negara palestina kalo mampu donasi cukup doa suara negara palestina medsos bukti kalo manusia laku aksi boikot seluruh produk terindentifikasi isrewel satu produk israel produk dukung tindak genosida laku zionajis isrewel beli isi amunisi senapan bantai anak anak bayi antar pesan orang anak syahid medan tempur gaza,Netral
"Kalian sih milih Prabowo, udh tau pelanggaran HAM masih dipilih, dongo",milih prabowo pelangaran pilih dongo,Netral
Bang jelasin bagaimana suara direkam,jelasin suara rekam,Positif
Andai Al-Baqarah terjadi di zaman sekarang mungkin kita bisa tau fakta dari sejarah yang sebenarnya 😄😄😄,andai baqarah jadi zaman sekarang fakta sejarah benar,Positif
"Yang menang mereka menulis sejarah sesuka hati, mereka menjadi pahlawan di cerita buatan mereka sendiri. Yang kalah dibuang dilupakan dikubur dalam kesunyian.",menang tulis sejarah suka hati pahlawan cerita buat sendiri kalah buang lupa kubur sunyi,Netral
Missing link yg direncanakan alih alih demi kepentingan demokrasi nyatanya demi kepentingan pribadi.,mising link rencana alih alih penting demokrasi nyata penting pribadi,Positif
Berarti sudah ditanam ya 😢 gila sih ini emang prabowo kagak liat jangka panjang dari ngerubah sejarah ya?,arti tanam gila prabowo kagak liat jangka panjang ngerubah sejarah,Positif
Keren videonya ❤,keren,Netral
"Pantesan kurikulum ganti terus, banyak noda soalnya",pantesan kurikulum ganti banyak noda,Negatif
🔥🔥🔥🔥🔥🔥,,Positif
Jadi inget naruto yang ngebersihin nama itachi di era boruto,inget naruto ngebersihin nama itachi boruto,Positif
"Dunia selalu diisi cerita yang diulang-ulang tapi dengan pemeran yang terus berganti
Dengan sejarah orang-orang dari masa kini atau masa depan bisa terhindar dari masalah-masalah yang dialami pendahulunya
Sejarah bukan cuma soal cerita tapi juga inspirasi",dunia disi cerita ulang ulang per ganti sejarah masa kini masa depan hindar masalah masalah alami dahulu sejarah soal cerita inspirasi,Positif
"LAWAN !!
REVOLUSI JKW 10 TAHUN + 5 TAHUN PERPANJANGAN LEWAT ANAKNYA BIKIN STRUKTUR NEGARA HANCUR. KELUARGA DAJJAL",lawan revolusi tahun tahun panjang lewat anak struktur negara hancur keluarga dajal,Netral
4:08 nando demo nando demo,nando demo nando demo,Negatif
kok bisa > masterpiece of knowledge 🤩,mahakarya ilmu,Positif
palingan nanti video ini di take down😊,pal video take,Positif
kok bisa? tiba tiba jadi epic banget,tiba tiba epic,Positif
pas banget gw habis baca buku pelajaran sejarah trus buka youtube😭✋🏻,habis baca buku ajar sejarah trus buka youtube,Netral
Mereka gk inget jas merah gitu ya?,inget merah,Negatif
Kok bisa tanpa baso = mode serius,baso mode serius,Netral
"Barang siapa yang dg sengaja membuat, merubah informasi data yang tdk sesuai dengan kenyataan apalagi sampai merubah sejarah, adalah dosa besar karena hal yang demikian merupakan perbuatan pengkianatan.",barang sengaja rubah informasi data sesuai kenyat rubah sejarah dosa besar rupa buat pengkianatan,Negatif
diera kekuasaan prabowo kalian akan di pertontonkan penyelewengan kekuasaan,era kuas prabowo tonton seleweng kuas,Negatif
Ngebahas tentang feodalisme di indonesia bagus juga,ngebahas feodalisme indonesia bagus,Positif
Min kasih link buat download vidio nya khawatir setelah ini vidio nya di hapus oleh ......,kasih link buat download vidio khawatir vidio hapus,Netral
videonya buat yg 20 menitan dong bg,buat menit,Netral
Sejarah timur leste bg katanya indo menjajah timur leste apa bener?,sejarah timur leste kata indo jajah timur leste bener,Netral
"Tolong suaranya di stabilin, kadang kenceng kadang pelan bgt ga kedengeran",suara stabilin kadang kenceng kadang pelan kedengeran,Positif
suaranya kurang kenceng,suara kurang kenceng,Positif
KERENNNN!! 😭😭😭,keren,Netral
"Sistem yang buruk adalah sistem dimana sesuatu itu sudah tidak bisa dipertanyakan, diperdebatkan, dan dipikirkan",sistem buruk sistem tanya debat pikir,Negatif
Baca buku api sejarah seketika sadar bahwa buku yg ditulis di buku sekolah isinya 80% hoax dan fitnah 😂 .,baca buku sejarah ketika sadar buku tulis buku sekolah isi hoax fitnah,Positif
Coba bahas apa yg terjadi pada masyarakat kita di indonesia apabila perang dunia ketiga meletus?,bahas jadi masyarakat indonesia apabila perang dunia tiga letus,Positif
"""Sejarah utuh adalah milik kita semua""
Ngena rasanya",sejarah utuh milik semua ngena rasa,Netral
"Kalau video ini ditake down, berarti ada yang merasa terancam",video ditake arti rasa ancam,Positif
"ternyata.. sejak dulu, sejak awal kemerdekaan negara Indonesia memang sudah gelap",nyata sejak dulu sejak awal kemerdekan negara indonesia gelap,Negatif
"bang coba bikin penjelasan tentang hal yang dilakuin atau di makan atau di apalah secara terus menerus pasti bosen + rasanya udah ngga sama lagi, tapi kenapa kalo makan nasi itu ngga kerasa bosen?",jelas dilakuin makan apa terus bosen rasa udah kalo makan nasi rasa bosen,Negatif
"kakek saya korban di tuduh komunisme, di penjara dan setelah di bebaskan ga berselang lama kakek saya meninggal saat usia bapak saya masih 7 tahun. Saya baru mengetahui pristiwa ini saat bapak saya udah usia 63 tahun... Sampek di tutupin peristiwa tersebut krn trauma. Karena setalah kejadian tersebut, kondisi keluarga bapak saya kacau dari segi ekonomi dan psikis.",kakek korban tuduh komunisme penjara bebas selang lama kakek meningal usia bapak tahun baru tahu pristiwa bapak udah usia tahun sampek tutupin peristiwa trauma seta jadi kondisi keluarga bapak kacau segi ekonomi psikis,Positif
"Menteri nya wowo yah mau merevisi sejarah biar tone nya lebih positif 😂
Biar prabowo bersih dari noda kelam pelanggaran HAM. gk percaya voter 02?
Coba liat debat 2019 jokowi jelas menyinggung wowo tentang pelanggaran HAM",menteri wowo revisi sejarah tone positif prabowo bersih noda kelam pelangaran percaya voter liat debat jokowi jelas menyingung wowo pelangaran,Netral
Chanel youtube paling bermutu yg aku subscribe,chanel youtube mutu subscribe,Netral
Semangat tim Kokbisa,semangat kokbisa,Netral
"Min , bagaimana cara agar gak gampang lupa ? Soalnya kalo aku nonton atau baca sesuatu tentang edukasi aku suka lupa dan ya jadi sia sia deh dan aku harus ulang lagi nontonnya. Terimakasih",cara gampang lupa kalo nonton baca edukasi suka lupa ulang nontonya terimakasih,Positif
bang gimana kalo gravitasi kebalik? jadi bukannya gaya menarik kebawah tapi mendorong keatas,kalo gravitasi balik buka gaya tarik bawah dorong atas,Netral
Sudah waktunya menulis phonegliph di rumah...,waktu tulis phonegliph rumah,Positif
"PR bagi kita yg masih sadar dan melek sejarah adalah gimana caranya biar pemahaman sejarah yg utuh dan objektif bisa nyampe ke berbagai lapisan masyarakat. Emang sekarang udah ada internet, tapi bukan berarti pengetahuan bisa nyebar segampang itu, karena ada bubble2 seperti di medsos. Ga semua level atau kelompok punya literasi sejarah yg baik atau ngerti cara mencari informasi yg benar. Belum lagi soal akses, dll. Jadi tantangan kedepannya adalah gimana menyampaikan dan menjelaskan sejarah yg utuh ke banyak kalangan",sadar melek sejarah cara paham sejarah utuh objektif nyampe bagai lapis masyarakat sekarang udah internet arti tahu nyebar gampang buble medsos semua level kelompok punya literasi sejarah baik ngerti cara cari informasi benar soal akses tantang depa sampai jelas sejarah utuh banyak kalang,Negatif
"marah banget dengerin materi kali ini, amat jahat kalo pemerintah berani melakukan penghapusan sejarah kelam yang dialami oleh negara ini 😠😠",marah dengerin materi jahat kalo perintah berani hapus sejarah kelam alami negara,Netral
Silets guys biar kita bicara dari ❤ ke ❤ sebab jika itu semua menghilang setidak nya generassi berikutnya akan tau dan lebih berhati-hati😢,silets guy bicara semua hilang tidak generasi ikut hati hati,Negatif
Kontenya bagus banget min 🙏,konte bagus,Netral
Pemerintah semakin hari semakin ingin membodohi masyarakatnya supaya mereka dpt dg mudah menguasai apa yg seharusnya menjadi hak rakyat,perintah hari bodoh masyarakat mudah kuasa rakyat,Netral
Gw setuju sejarah ga boleh di ubah dan saat nya kita tau doksli super semar sama dalang pki,tuju sejarah ubah doksli super mar dalang,Netral
9:37  puisi wiji thukul gak tuh,puisi wiji thukul,Positif
"Bang! Nanti kolab bareng Under Expert, buat video tentang Perang Konsol.",kolab bareng expert buat video perang konsol,Positif
"Mau heran, tapi prabowo mantu nya soeharto😊",heran prabowo mantu soeharto,Positif
Karena aku atau mungkin kita. Tidak tahu mana yg dibahas. Tapi padahal kita sendiri banyak konten influencer dll. Meminta sendiri Indonesia mengubah catatan sejarah,bahas padahal sendiri banyak konten influencer minta sendiri indonesia ubah catat sejarah,Netral
Sama halnya kitab suci yang di rubahkah?,hal kitab suci rubah,Netral
"Contoh Sederhana nya apa  ? 

Yap,  Sejarah Pembangunan Jalan Pantai Utara (Pantura) yg diperintahkan oleh Dendles. .. Dibuku sejarah pemerintah, dikatakan rakyat yg bekerja di Paksa & Tidak di Bayar oleh Deandles... 

Padahal sebenarnya. Orang² yg bekerja disana itu diBayar, tapi di Uang nya di Korupsi oleh Pejabat (lokal) setempat yg Serakah",contoh sederhana sejarah bangun jalan pantai utara pantura perintah dendles buku sejarah perintah kata rakyat kerja paksa bayar deandles padahal benar kerja sana bayar uang korupsi jabat lokal tempat serakah,Netral
apakah vidio ini akan di hapus 🤔,vidio hapus,Positif
"Kalo saya simpulkan sih... Orang yang mau berpikir kirits, stay curious, dan terus mau belajar adalah orang yang sangat ditakuti apapun zamannya.",kalo simpul pikir kirits stay curious ajar takut apa zamanya,Positif
"GUA NGERI NI CH DIBANNED PEMERENTA ANJ, SEHAT2 DAN SEMOGA SELALU SELAMAT YAA TIM KOK BISAA",ngeri dibaned renta sehat moga selamat,Positif
Ntar belanda minta ganti sejarah kolonialisme..,ntar belanda minta ganti sejarah kolonialisme,Positif
"Semua pemenang hampir selalu bikin sejarah berdasar kisahnya sendiri, dan menghapus yg merugikan. Jepang sekarang ga tau kalau dulu pernah menjajah Indonesia. Yahudi menganggap firaun Mesir buruk, padahal kelompok itu kecil tapi bisa menguasai dunia sekarang, dengan ideologi yg kemudian ditiru Kristen dan Islam. Arab juga, kisah pagan Quraish yg sebetulnya jadi pendahulu agama, dibuang, lalu dicocoklogikan dengan tradisi Yahudi. Eh jangan reply kalau belom riset ya.

Indonesia ingin menghilangkan bab prasejarah, diganti sejarah awal, karena fakta Papua adalah kelompok manusia pertama tiba di Nusantara sebelum 50,000sm. Kita? Mayoritas Austronesia baru tiba tahun 2000sm dari P Formosa, membawa budaya neolitikum padi babi, yg asalnya juga dari Afrika. Menggantikan penduduk asli Negrito Nusantara yg berkerabat dengan moyang Papua dan Aborigin Australia.",semua menang hampir sejarah dasar kisah sendiri hapus rugi jepang sekarang dulu pernah jajah indonesia yahudi mengangap firaun mesir buruk padahal kelompok kecil kuasa dunia sekarang ideologi kemudian tiru kristen islam arab kisah pagan quraish dahulu agama buang dicocoklogikan tradisi yahudi reply bom riset indonesia hilang prasejarah ganti sejarah awal fakta papua kelompok manusia pertama tiba nusantara mayoritas austronesia baru tiba tahun formosa bawa budaya neolitikum padi babi asal afrika anti duduk asli negrito nusantara kerabat moyang papua aborigin australia,Positif
"Kokbisa kenapa ketika guntur bangunan disekitaran nya bergetar,?",kokbisa guntur bangun sekitar getar,Netral
Animasinya keren bangettt🔥🔥,animasi keren,Negatif
"Indonesia bukan negara yang sempurna.
Kaya akan sumberdaya alam dan budaya.
Walau penuh perjuangan berdarah yang menyesakkan jiwa.
Tapi itulah yang membuatku cinta sejarah kita.
Bhinekka Tunggal Ika, Beragam cerita tetapi tetap satu...
INDONESIA",indonesia negara sempurna kaya sumberdaya alam budaya penuh juang darah sesak jiwa buat cinta sejarah bhineka tungal agam cerita tetap satu indonesia,Negatif
SEJARAH DITULIS OLEH PEMENANG,sejarah tulis menang,Netral
Pemenang perang lah yang akan menulis sejarah,menang perang tulis sejarah,Netral
saya takut kok bisa di serang sama rezim dan buzzer2 nya. kaya media media lain yang dibunuh karakter nya.,takut serang rezim buzer kaya medium medium bunuh karakter,Netral
ini bukan sepele saya sangat tidak mauuu membacamaupun mempelajari sejarah yang baik nya doang karena sejarah kelam bisa untuk menjadi pembelajaraan kita untuk bangsa kita kedepannyaa,sepele membacamaupun ajar sejarah baik doang sejarah kelam ajar bangsa depa,Netral
Bang bahas tentang sentella globular/bola petir,bahas sentela globular bola petir,Positif
"KokBisa akhir nya durasi nya lumayan lama, kualitas nya lebih jernih, dan ada bapak kumis",kokbisa akhir durasi lumayan lama kualitas jernih bapak kumis,Netral
"Boleh nanya ga mimin

Apa rasanya jika terlindas kereta api?

Udah itu aja,terimakasih 😁",nanya mimin rasa lindas kereta udah terimakasih,Netral
Sejarah di tulis oleh pemenang. 😮,sejarah tulis menang,Netral
Absolute cinema,absolute cema,Netral
🔥,,Netral
3:33 yuval noah harari,yuval noah harari,Netral
"""Ketidaktahuan adalah dosa"" that's my Life Advice",ketidaktahuan dosa life advice,Netral
Aduh jangan dulu dihapus kejadiannya belum ke download,aduh dulu hapus kejadianya download,Netral
Kita hidup di animal farm,hidup animal farm,Netral
"Menyala, Kok Bisa",nyala,Netral
Ada one piece euy🗿,piece,Positif
"kalo memang tujuannya supaya semua rakyat bisa jadi nurut seperti china dan bikin negara jadi maju, knapa tidak?",kalo tujuanya semua rakyat nurut china negara maju knapa,Positif
abang dan kakak semua yang nonton video ini mau nanya apakah nanti jika sejarah dihilangkan dari buku sekolah apakah mungkin data di internet atau sekelas Ai chat gpt gak bisa menyajikan informasi itu soalnya untuk sekarang saya lebih banyak nanya ke ai kayak chat gpt yang menurut saya pribadi netral tanpa konspirasi atau susupan ideologis.bukannya gak mau baca buku sejarah tapi maaf kadang melihat buku tebal itu menurut saya pribadi lebih cepat bosan daripada nanya ke Ai yang langsung to the point jawaban pertanyaan saya.sekali lagi saya minta maaf kalau ada kalimat yang mungkin menyinggung kakak atau abang penyuka sejarah🙏,abang kakak semua nonton video nanya sejarah hilang buku sekolah data internet kelas chat saji informasi sekarang banyak nanya chat pribadi netral konspirasi susup ideologis buka baca buku sejarah kadang buku tebal pribadi cepat bosan nanya langsung point jawab pertanyan minta kalimat menyingung kakak abang suka sejarah,Positif
"Jangan kalian abis nonton video begini mikirnya
Terus buat apa aku belajar ips sejarah dll kalau pada akhirnya yang aku pelajari sebuah ""kebohongan""
Nggak ya gak gitu anj belajar sana...",abis nonton video begini mikirnya buat ajar sejarah akhir ajar buah bohong ajar sana,Positif
"Takut setelah sejarah dihapus, channel ini juga ikut dihapus biar barang bukti ilang semua",takut sejarah hapus chanel ikut hapus barang bukti ilang semua,Positif
ya Allah knp aku WNI?? 😢,alah,Positif
"Belajar sejarah buat apa? Supaya ga melakukan kesalahan di masa lalu? Wong peristiwanya aja ditutup tutupin. Mengagungkan kejayaan masa lalu? Tidak terimakasih, relevansinya dengan masa kini sudah ga nyambung, lagipula kalau masa jaya itu sudah berakhir, yang seharusnya dipelajari itu kesalahan yang membuat masa jaya itu berakhir dan itu balik lagi ke poin awal",ajar sejarah buat salah masa wong peristiwa tutup tutupin agung kejayan masa terimakasih relevansi masa kini nyambung lagipula masa jaya akhir ajar salah masa jaya akhir balik poin awal,Netral
Mahal ini!!!!! LAWAN,mahal lawan,Positif
Bang mau nanya Bang lu tau berita ini tuh dari mana bukannya ini kasus udah di tutup ya😅,nanya berita buka kasus udah tutup,Positif
Gorosei dan marine berupaya mengapus bukti sejarah abad kekosongan supaya dimasa depan anak cucu kita tidak mengetahui keburukan mereka,gorosei marine upaya mengapus bukti sejarah abad kosong masa depan anak cucu tahu keburu,Netral
Bapak proklamasi asli adalah datuk tan Malaka dari sumatera barat,bapak proklamasi asli datuk malaka sumatera barat,Positif
Bang bisa gak jelesin dampak ke depan bila WW3 terjadi.,jelesin dampak depan bila jadi,Positif
Merindinng yaallah😢,merinding yalah,Positif
Paling parah si HARTO anti KOMUNIS/KIRI tapi sistem PEMERINTAHAN kaya TANGAN BESI/FASISME/KOMUNIS,parah harto anti komunis kiri sistem perintah kaya tangan besi fasisme komunis,Positif
terima kasih tim kok bisa. salut berani menggangkat kisah ini. apalagi berani berdiri lurus. hebat.,terima kasih salut berani angkat kisah berani diri lurus hebat,Positif
bang kenapasi kita bisa tidur siang,napa tidur siang,Netral
"Gua pro pak prabowo, kenapa sejarah kelam harus diungkit",prabowo sejarah kelam ungkit,Positif
blh nanya gak   dimana sebenar nya surga,nanya benar surga,Positif
"Perbanyak pembahasan tentang sejarah bung, seru bangett!!",banyak bahas sejarah bung seru,Positif
Kenapa kamu tanya begitu?,tanya,Positif
Aku masih ingat pas belajar ips di buku nya soal sejarah orde baru ditulis nya orde baru adalah masah ke emasan tdk ada ditulisnya pembantayan.tapi pas ujian kemarin sejarah orde baru soal pembantayan 1998 di buat soal jadi nya cuman aku yg nengerti karna selalu lihat kok bisa,ajar buku soal sejarah orde baru tulis orde baru masah emas tulis pembantayan uji kemarin sejarah orde baru soal pembantayan buat soal nengerti karna lihat,Positif
Belajar sejarah negara lain saja sepertinya kalau ingin belajar sejarah di negara sendiri udah di hapus,ajar sejarah negara seperti ajar sejarah negara sendiri udah hapus,Positif
"Min, perna gak sih kepikiran kalo di bandingkan jumlah populasi makhluk hidup itu banyak mana, kayak jumlah manusia sama hewan itu banyak mana atau populasi tumbuhan lebih banyak atau mingkin makhluk hidup kecil seperti mikrobakteria lebih banyak dari pada jumlah populasi kita, cpba bahas dong minn",perna pikir kalo band jumlah populasi makhluk hidup banyak jumlah manusia hewan banyak populasi tumbuh banyak mingkin makhluk hidup kecil mikrobakteria banyak jumlah populasi cpba bahas,Positif
MANA BAKSONYA???,bakso,Positif
Seperti zetsu hitam,zetsu hitam,Positif
Menunggu BUBAR aj nggak sih sekalian WW3 🔥☠🗿,tungu bubar sekali,Positif
Apa ini gegara film pengepungan bukit berduri yg bikin banyak bahas sejarah kelam indo?,gegara film kepung bukit dur banyak bahas sejarah kelam indo,Positif
Dipikir pikir kaya cerita one Piece tuh sejarah😂,pikir pikir kaya cerita piece sejarah,Positif
LAWAN!!,lawan,Netral
Saatnya untuk beraksi,sit aksi,Positif
Seketika langsung copy blue archivenya  sejarah yg mau dihilangkan 😅,ketika langsung copy blue archivenya sejarah hilang,Positif
"Usahain min tiap video kualitas suara story teling ny di perjelas, masa iya harus volume full baru bisa kedengeran tiap kata yg diucap!!",usahain tiap video kualitas suara story ting jelas masa volume baru kedengeran tiap kata ucap,Positif
Kerennn!!! Terimaksih ko bisa untuk semua informasinya.,keren terimaksih semua informasi,Netral
klo emg Noda Sejarah di hapus emang kacau bangett,noda sejarah hapus kacau,Positif
Terima kasih kepada tim Kok Bisa yang tak lelah terus bersuara apa yang seharusnya dilakukan pemerintah. Smoga para pemangku kepentingan bisa mendengar dan melakukan aspirasi rakyat Indonesia. Amin.,terima kasih lelah suara perintah smoga mang penting dengar aspirasi rakyat indonesia amin,Positif
"terima kasih banyak kok bisa, this video means a lot, you guys have a big heart for this. God bless y’all, semoga melalui video ini banyak masyarakat tersadar dan mulai tergerak untuk menyuarakan 😢❤",terima kasih banyak video mean guy heart bles moga lalu video banyak masyarakat sadar mulai gerak suara,Negatif
ANIMASI EDUKASI FAVV AKUU,animasi edukasi,Negatif
Pemerintah Dongo.,perintah dongo,Netral
